SYMBOL,GeneID,Median(Tumor),Median(Normal),Log2FC,adjp
ORC4,ENSG00000115947,13.56,5.04,1.269,1.77E-33
PLEK,ENSG00000115956,6.57,0.56,2.279,1.15E-36
RND3,ENSG00000115963,24.13,1.89,3.12,1.54E-75
THADA,ENSG00000115970,17.8,6.09,1.407,2.78E-52
TRAK2,ENSG00000115993,9.78,4.02,1.103,4.92E-35
PCYOX1,ENSG00000116005,18.191,5.03,1.67,1.08E-57
EPAS1,ENSG00000116016,55.191,25.069,1.108,2.12E-19
SUMO1,ENSG00000116030,103.17,16.939,2.538,3.02E-82
NFE2L2,ENSG00000116044,58.781,14.09,1.986,8.39E-54
PLEKHA3,ENSG00000116095,7.69,2.1,1.487,1.66E-47
EPHA4,ENSG00000116106,5.42,0.42,2.177,4.17E-61
PARD3B,ENSG00000116117,3.68,1.2,1.089,2.66E-37
FARSB,ENSG00000116120,14.93,5.6,1.271,1.03E-49
PRRX1,ENSG00000116132,17.43,1.05,3.168,1.9E-53
GPX7,ENSG00000116157,14.63,4.41,1.531,2.97E-35
SCP2,ENSG00000116171,138.591,30.311,2.156,1.78E-63
RALGPS2,ENSG00000116191,6.18,1.57,1.482,4.71E-50
FAM20B,ENSG00000116199,13.59,3.31,1.759,7.64E-76
TMEM59,ENSG00000116209,379.747,114.491,1.721,3.61E-52
LRRC42,ENSG00000116212,25.08,4.52,2.24,1.88E-72
ICMT,ENSG00000116237,31.41,6.61,2.09,2.33E-76
QSOX1,ENSG00000116260,190.216,35.971,2.371,9.31E-53
PHF13,ENSG00000116273,9.94,2.69,1.568,3.76E-57
PARK7,ENSG00000116288,249.137,100.733,1.298,1.56E-38
KIAA1324,ENSG00000116299,18.301,47.431,-1.327,1.04E-08
MECR,ENSG00000116353,18.911,8.64,1.046,2.71E-33
RAP1A,ENSG00000116473,50.86,11.27,2.08,7.15E-57
HDAC1,ENSG00000116478,94.693,23.15,1.986,3.08E-56
RNF19B,ENSG00000116514,26.031,3.04,2.742,1.78E-77
SCAMP3,ENSG00000116521,68.289,23.85,1.479,1.19E-50
RHOU,ENSG00000116574,11.94,4.67,1.19,2.15E-26
LAMTOR2,ENSG00000116586,110.913,35.971,1.598,1.57E-46
MEF2D,ENSG00000116604,21.84,10.35,1.009,3.1E-29
FBXO2,ENSG00000116661,12.14,30.63,-1.267,9.61E-14
LEPR,ENSG00000116678,3.34,0.74,1.319,3.47E-26
IVNS1ABP,ENSG00000116679,64.48,23.769,1.402,6.2E-27
KIAA2013,ENSG00000116685,40.89,16.29,1.277,1.13E-44
MFN2,ENSG00000116688,26.39,8.31,1.557,2.31E-53
PRG4,ENSG00000116690,1.9,0.19,1.285,1.87E-29
SMG7,ENSG00000116698,22.611,8.4,1.329,3.61E-47
NCF2,ENSG00000116701,19.11,1.02,3.315,2.9E-47
PLA2G4A,ENSG00000116711,6.39,1.33,1.665,3.15E-41
GADD45A,ENSG00000116717,34.539,6.36,2.272,1.67E-60
WLS,ENSG00000116729,45.49,21.9,1.022,6.04E-21
TROVE2,ENSG00000116747,7.03,2.26,1.3,9.49E-41
OLFML3,ENSG00000116774,35.879,8.31,1.986,3.34E-33
PLEKHM2,ENSG00000116786,29.92,12.75,1.169,5.5E-33
PHTF1,ENSG00000116793,10.19,3.76,1.233,5.07E-49
NR5A2,ENSG00000116833,4.32,17.98,-1.835,3.95E-27
KIF21B,ENSG00000116852,1.76,0.27,1.12,2.35E-37
TMEM9,ENSG00000116857,70.761,24.04,1.519,3.24E-55
MAP7D1,ENSG00000116871,70.609,8.95,2.847,3.12E-74
RP11-268J15.5,ENSG00000116883,2.51,0.37,1.357,9.05E-32
OSCP1,ENSG00000116885,7.34,2.78,1.142,1.29E-40
MRPS15,ENSG00000116898,58.032,25.09,1.178,1.12E-42
EXOC8,ENSG00000116903,4.63,1.77,1.023,3.96E-48
GNPAT,ENSG00000116906,30.45,12.59,1.211,1.09E-38
TSNAX,ENSG00000116918,17.4,4.67,1.698,2.92E-69
RRAGC,ENSG00000116954,17.9,4.32,1.829,4.83E-63
NID1,ENSG00000116962,26.299,6.6,1.845,1.78E-32
HPCAL4,ENSG00000116983,0.09,1.55,-1.226,1.31E-17
MYCL,ENSG00000116990,2.67,8.59,-1.386,1.3E-22
SIPA1L2,ENSG00000116991,9.07,1.48,2.022,2.3E-47
RLF,ENSG00000117000,4.66,1.53,1.162,4.94E-43
ETV3,ENSG00000117036,8.79,1.77,1.821,4.38E-67
ST6GALNAC5,ENSG00000117069,2.48,0.16,1.585,2.79E-40
PADI2,ENSG00000117115,3.04,0.43,1.498,7.05E-29
SDHB,ENSG00000117118,67.451,31.6,1.07,9.79E-35
MFAP2,ENSG00000117122,74.222,9.34,2.863,2.25E-40
RPF1,ENSG00000117133,27.401,8.64,1.559,3.33E-57
KDM5B,ENSG00000117139,18.01,4.56,1.774,5.43E-55
RGS4,ENSG00000117152,6.96,0.74,2.194,7.67E-42
KLHL12,ENSG00000117153,13.97,5.81,1.136,5.71E-45
SSX2IP,ENSG00000117155,4.56,1.11,1.398,7.67E-51
ZNHIT6,ENSG00000117174,7.86,2.73,1.248,2.97E-47
RBBP5,ENSG00000117222,6.27,2.19,1.188,1.28E-60
GBP3,ENSG00000117226,25.37,1.89,3.19,2.16E-55
GBP1,ENSG00000117228,16.09,1.72,2.652,1.93E-45
RAB29,ENSG00000117280,13.1,3.33,1.703,4.19E-59
HMGCL,ENSG00000117305,34.611,12.34,1.417,1.08E-49
GALE,ENSG00000117308,67.982,7.28,3.059,1.47E-54
ID3,ENSG00000117318,69.161,24.669,1.451,1.05E-25
P3H1,ENSG00000117385,35.72,6.92,2.213,2.06E-58
SLC2A1,ENSG00000117394,131.908,2.82,5.121,4.37E-81
IPO13,ENSG00000117408,13.74,5.47,1.188,1.76E-43
ERI3,ENSG00000117419,35.671,13.62,1.327,3.56E-51
PRDX1,ENSG00000117450,363.295,44.711,2.994,4.13E-71
PIK3R3,ENSG00000117461,5.25,1.59,1.271,2.4E-37
TSPAN1,ENSG00000117472,258.459,2.14,6.369,7.15E-90
NSUN4,ENSG00000117481,9.93,4.32,1.039,1.75E-37
TMED5,ENSG00000117500,17.4,7.87,1.053,6.85E-34
PRRC2C,ENSG00000117523,39.341,14.17,1.411,1.11E-36
F3,ENSG00000117525,86.852,23.94,1.817,1.38E-11
TNFSF4,ENSG00000117586,2.33,0.23,1.437,5.18E-45
HSD11B1,ENSG00000117594,8.27,0.57,2.562,5.62E-45
IRF6,ENSG00000117595,29.96,6.6,2.026,9.21E-46
RCAN3,ENSG00000117602,8.09,2.92,1.213,4.2E-46
SYF2,ENSG00000117614,57.118,23.36,1.255,1.52E-37
SLC35A3,ENSG00000117620,10.4,3,1.511,7.1E-43
STMN1,ENSG00000117632,104.162,8.49,3.47,5.53E-84
MAN1C1,ENSG00000117643,8.84,2.1,1.666,1.83E-41
NEK2,ENSG00000117650,4.93,0.05,2.498,6.9E-66
RPS6KA1,ENSG00000117676,29.98,7.73,1.827,2.11E-51
NENF,ENSG00000117691,79.208,26.27,1.556,1.96E-50
NSL1,ENSG00000117697,12.97,2.8,1.878,6.13E-76
RPA2,ENSG00000117748,29.97,7.64,1.842,1.12E-59
PPP1R8,ENSG00000117751,20.68,6.12,1.606,7.8E-65
STX12,ENSG00000117758,24.8,8.77,1.401,1.78E-45
TXNDC12,ENSG00000117862,40.29,13.61,1.499,1.22E-59
ESYT2,ENSG00000117868,35.05,9.13,1.831,3.51E-56
MESDC2,ENSG00000117899,20.09,7.69,1.279,1.11E-55
RCN2,ENSG00000117906,32.219,9.61,1.647,5.19E-54
MUC5B,ENSG00000117983,39.929,0.87,4.452,1.22E-29
STK11,ENSG00000118046,31.371,14.51,1.061,1.73E-28
IFT46,ENSG00000118096,14.85,6.82,1.019,6.81E-35
MREG,ENSG00000118242,4.51,0.77,1.638,2.27E-69
FASTKD2,ENSG00000118246,12.32,5.49,1.037,9.99E-39
NRP2,ENSG00000118257,21.869,0.65,3.793,5.41E-78
KLF7,ENSG00000118263,7.79,1.45,1.843,5.46E-48
SPCS2,ENSG00000118363,149.209,71.669,1.048,6.34E-31
SGIP1,ENSG00000118473,3.54,0.38,1.718,1.01E-46
TNFAIP3,ENSG00000118503,16.88,5.63,1.431,1.29E-21
RAB32,ENSG00000118508,31.769,3.84,2.759,2.21E-61
MYB,ENSG00000118513,1.21,0.04,1.087,6.59E-39
RNF146,ENSG00000118518,20.05,9.09,1.061,1.69E-28
TCF21,ENSG00000118526,2.31,0.57,1.076,5.82E-28
FBXL5,ENSG00000118564,38.759,14.67,1.343,4.98E-45
MED28,ENSG00000118579,27.331,7.75,1.695,1.26E-63
VAMP8,ENSG00000118640,229.777,68.612,1.729,1.28E-39
MYL12B,ENSG00000118680,545.108,78.08,2.788,3.1E-68
RPN2,ENSG00000118705,185.155,55.062,1.731,8.09E-56
TGIF2,ENSG00000118707,11.1,4.75,1.073,1.62E-28
PKD2,ENSG00000118762,12.54,5.27,1.111,6.01E-27
SPP1,ENSG00000118785,540.218,62.439,3.093,8.9E-20
FAM47E-STBD1,ENSG00000118804,4.11,1.5,1.031,1.32E-34
RARRES1,ENSG00000118849,32.89,2.6,3.235,4.88E-34
MFSD1,ENSG00000118855,47.408,13.04,1.786,5.73E-56
RAB3GAP2,ENSG00000118873,8.2,3.28,1.104,4.39E-44
PPL,ENSG00000118898,27.41,3.86,2.547,2.45E-51
UBN1,ENSG00000118900,12.93,5.21,1.166,1.52E-40
KLF12,ENSG00000118922,2,0.32,1.184,3.04E-43
UCHL3,ENSG00000118939,33.84,12.77,1.339,1.45E-45
HS1BP3,ENSG00000118960,19.14,5.29,1.679,2.99E-60
LDAH,ENSG00000118961,6.48,2.31,1.176,2.26E-45
NDUFB3,ENSG00000119013,78.88,15.899,2.241,1.51E-74
GDA,ENSG00000119125,11.12,0.45,3.063,9.69E-60
TJP2,ENSG00000119139,33.029,10.69,1.542,1.13E-31
ITGB1BP1,ENSG00000119185,62.751,11.22,2.383,7.17E-73
PTBP3,ENSG00000119314,25.05,3.96,2.393,6.2E-71
RAD23B,ENSG00000119318,45.31,17.79,1.301,3.07E-37
FKBP15,ENSG00000119321,14.29,5.39,1.259,2.04E-46
WDR34,ENSG00000119333,49.969,16.731,1.523,5.71E-41
SET,ENSG00000119335,162.985,47.57,1.755,2.14E-47
PPP2R4,ENSG00000119383,113.873,23.93,2.204,1.84E-65
GLE1,ENSG00000119392,11.16,3.47,1.444,5.84E-59
RAB14,ENSG00000119396,36.061,9.74,1.787,4.31E-63
TRIM32,ENSG00000119401,5.82,1.93,1.219,3.65E-55
FBXW2,ENSG00000119402,16,6.58,1.165,8.61E-34
PHF19,ENSG00000119403,17.59,2.29,2.498,4.05E-76
NEK6,ENSG00000119408,27.59,6.23,1.983,3.91E-53
PPP6C,ENSG00000119414,17.83,8.29,1.019,3.76E-40
NDUFA8,ENSG00000119421,55.71,14.13,1.906,9.84E-73
RBM18,ENSG00000119446,8.44,2.24,1.543,7.37E-64
MAPKAP1,ENSG00000119487,44.43,17.45,1.3,7.71E-50
NR4A3,ENSG00000119508,1.82,0.36,1.052,2.73E-17
GALNT12,ENSG00000119514,18.05,4.6,1.766,1.7E-41
KDSR,ENSG00000119537,20.579,6.73,1.481,1.48E-46
VPS4B,ENSG00000119541,17.67,6.1,1.395,6.2E-50
ONECUT2,ENSG00000119547,3.5,0.66,1.439,6.3E-26
ZBTB45,ENSG00000119574,8.29,3.09,1.184,1.05E-42
FCF1,ENSG00000119616,20.49,5.28,1.775,4.09E-49
PGF,ENSG00000119630,12.19,1.7,2.288,2.5E-59
IFI27L2,ENSG00000119632,108.157,8.61,3.506,4.27E-83
IFT43,ENSG00000119650,31.18,10.85,1.441,9.14E-50
NPC2,ENSG00000119655,284.344,45.901,2.605,1.72E-67
LTBP2,ENSG00000119681,28.15,2.49,3.062,2.79E-58
MLH3,ENSG00000119684,13.48,4.74,1.335,2.6E-44
TTLL5,ENSG00000119685,11.66,3.09,1.63,1.87E-68
FLVCR2,ENSG00000119686,3.23,0.28,1.725,5.49E-48
TGFB3,ENSG00000119699,31.441,13.89,1.123,2.26E-08
SLIRP,ENSG00000119705,130.661,40.969,1.649,5.22E-53
GPR68,ENSG00000119714,5.54,0.23,2.411,3.02E-63
NRDE2,ENSG00000119720,6.24,2.37,1.103,2.5E-50
ZNF410,ENSG00000119725,28.07,9,1.54,2.88E-53
RHOQ,ENSG00000119729,26.729,11.68,1.129,7.49E-23
KLHL29,ENSG00000119771,3.22,0.88,1.167,8.06E-38
FKBP1B,ENSG00000119782,15.66,3.83,1.786,5.8E-43
YPEL5,ENSG00000119801,59.979,15.05,1.926,1.39E-60
FAM98A,ENSG00000119812,17.5,6.55,1.293,4.12E-48
YIPF4,ENSG00000119820,29.96,11.4,1.32,1.03E-44
LGALSL,ENSG00000119862,7.32,2.08,1.434,1.45E-63
EPCAM,ENSG00000119888,327.919,53.341,2.598,4.52E-52
SLC17A5,ENSG00000119899,12.15,3.22,1.64,8.23E-59
IFIT3,ENSG00000119917,17.019,1.81,2.681,1.32E-49
IFIT2,ENSG00000119922,6.98,0.68,2.248,3.6E-54
SMNDC1,ENSG00000119953,14.93,4.69,1.485,4.39E-50
HELLS,ENSG00000119969,3.34,0.54,1.495,1.58E-60
TCTN3,ENSG00000119977,24.09,8.82,1.353,1E-59
FAM45A,ENSG00000119979,17.689,5.9,1.438,1.2E-56
GOT1,ENSG00000120053,27.149,11.17,1.21,3.3E-33
SFRP5,ENSG00000120057,17.56,43.2,-1.252,1.85E-08
GNA13,ENSG00000120063,17.53,3.17,2.152,2.13E-66
HOXB5,ENSG00000120075,5.12,0.28,2.257,1.12E-58
HOXB3,ENSG00000120093,9.94,1.9,1.915,6.21E-36
PANK3,ENSG00000120137,8.27,2.78,1.294,1.62E-42
MSX2,ENSG00000120149,3.32,0.19,1.86,7.78E-45
TEK,ENSG00000120156,3.23,0.91,1.147,6E-31
MOB3B,ENSG00000120162,4.31,1.28,1.22,3.26E-37
MTHFD1L,ENSG00000120254,14.45,3.13,1.903,3.97E-53
LRP11,ENSG00000120256,19.061,5.7,1.582,3.18E-52
PCMT1,ENSG00000120265,36.081,14.36,1.271,5E-46
PLEKHG1,ENSG00000120278,5.85,0.47,2.22,2E-67
MYCT1,ENSG00000120279,3.23,0.69,1.324,1.23E-22
PCDHB10,ENSG00000120324,2.12,0.3,1.263,3.4E-57
MRPS14,ENSG00000120333,20.21,9,1.085,1.67E-43
KCNJ5,ENSG00000120457,0.91,3.67,-1.29,7.67E-16
TEX11,ENSG00000120498,0.39,3.79,-1.785,1.57E-42
PDZD11,ENSG00000120509,43.661,8.47,2.238,3.52E-87
NUDCD1,ENSG00000120526,7.92,3.29,1.056,6.39E-36
ENY2,ENSG00000120533,89.579,27.98,1.644,1.44E-50
MASTL,ENSG00000120539,4.13,1.1,1.289,1.41E-53
KIAA1217,ENSG00000120549,21.529,6.12,1.662,4.09E-36
PLXDC2,ENSG00000120594,16.381,0.87,3.216,4.09E-64
TAF12,ENSG00000120656,18.911,7.48,1.231,5.82E-46
TNFSF11,ENSG00000120659,2.9,0.04,1.907,2.11E-52
WBP4,ENSG00000120688,6.41,2.45,1.103,8.49E-50
HSPH1,ENSG00000120694,45.879,9.95,2.098,1.32E-51
ETF1,ENSG00000120705,37.291,13.21,1.43,1.19E-51
TGFBI,ENSG00000120708,168.791,7.64,4.297,2.15E-66
PAIP2,ENSG00000120727,54.989,18.78,1.501,1.59E-47
KDM3B,ENSG00000120733,25.16,9.97,1.254,1.53E-40
PLS1,ENSG00000120756,30.149,2.64,3.097,4.34E-60
GLT8D2,ENSG00000120820,14.05,1.02,2.897,1.46E-61
SORBS3,ENSG00000120896,81.871,25.479,1.646,3.37E-41
PTK2B,ENSG00000120899,17.869,5.79,1.475,8.09E-34
PDLIM2,ENSG00000120913,56.96,7.61,2.751,6.74E-67
EPHX2,ENSG00000120915,10.16,26.13,-1.282,4.09E-23
RNF170,ENSG00000120925,8.13,3.38,1.06,1.04E-44
TARDBP,ENSG00000120948,107.873,42.241,1.332,2.06E-38
LYPLA1,ENSG00000120992,27.5,8.39,1.602,3.54E-43
RDH10,ENSG00000121039,16.33,5.48,1.419,1.47E-25
SCPEP1,ENSG00000121064,47.679,9.06,2.275,7.59E-56
SPOP,ENSG00000121067,26.891,11.11,1.204,4.78E-45
TBX2,ENSG00000121068,6.14,1.92,1.29,6.94E-33
SLC35B1,ENSG00000121073,49.329,23.36,1.047,2.19E-37
NCAPH,ENSG00000121152,4.01,0.1,2.187,1.41E-69
KIAA0922,ENSG00000121210,4.38,11.09,-1.168,2.19E-18
MND1,ENSG00000121211,2.68,0.1,1.742,1.66E-70
TSHZ3,ENSG00000121297,3.65,0.53,1.604,1.3E-48
PLBD1,ENSG00000121316,54.518,7.64,2.684,1.69E-42
IAPP,ENSG00000121351,3.15,9.98,-1.404,0.0464
PSPC1,ENSG00000121390,24.511,7.2,1.637,1.58E-60
PDZRN3,ENSG00000121440,8.63,2.3,1.545,2.22E-38
RNF2,ENSG00000121481,8.83,2.6,1.449,1.98E-50
TRMT1L,ENSG00000121486,6.66,2.12,1.296,1.03E-55
SEC22A,ENSG00000121542,11.71,3.86,1.387,3.01E-54
POPDC2,ENSG00000121577,3.41,1.03,1.119,6.24E-23
NAA50,ENSG00000121579,52.008,12.11,2.016,7.66E-57
MAPK8IP1,ENSG00000121653,5.52,16.18,-1.398,7.02E-17
PILRB,ENSG00000121716,12.47,26.891,-1.05,5.97E-12
ZMYM2,ENSG00000121741,26.55,9.78,1.354,2.11E-36
ZCCHC17,ENSG00000121766,21.86,6.53,1.602,1.05E-66
FABP3,ENSG00000121769,13.16,0.87,2.921,3.39E-54
KHDRBS1,ENSG00000121774,67.681,16.939,1.937,2.49E-67
TMEM39B,ENSG00000121775,11.59,3.22,1.577,1.66E-61
POLR3GL,ENSG00000121851,37.239,8.69,1.981,1.49E-71
TNFSF10,ENSG00000121858,51.31,8.1,2.523,1.23E-52
ZNF639,ENSG00000121864,16.48,6.79,1.166,4.5E-39
PIK3CA,ENSG00000121879,6.75,1.87,1.433,5.32E-46
PDS5A,ENSG00000121892,16.65,6.97,1.147,9.56E-44
TMEM156,ENSG00000121895,1.43,0.12,1.117,2.22E-33
TMEM54,ENSG00000121900,100.663,12.2,2.945,1.56E-67
LRIF1,ENSG00000121931,7.17,1.57,1.669,8.06E-61
GPSM2,ENSG00000121957,5,1.14,1.487,1.6E-47
GTDC1,ENSG00000121964,9.74,2.47,1.63,2.95E-49
MTIF3,ENSG00000122033,60.35,27.53,1.105,2.5E-35
GTF3A,ENSG00000122034,96.008,36.181,1.384,1.36E-47
RASL11A,ENSG00000122035,6.8,2.38,1.206,5.81E-28
FYTTD1,ENSG00000122068,14.13,6.54,1.005,4.78E-25
SASH3,ENSG00000122122,7.28,0.76,2.234,1.64E-35
FMOD,ENSG00000122176,39.799,5.06,2.751,6.27E-55
KIAA1191,ENSG00000122203,48,19.1,1.286,2.66E-42
LY9,ENSG00000122224,1.27,0.09,1.058,5.9E-24
HS3ST2,ENSG00000122254,1.6,0.11,1.228,6.73E-28
FAM213A,ENSG00000122378,40.489,13.87,1.48,1.14E-50
NAA60,ENSG00000122390,41.151,18.35,1.123,8.78E-25
ODF2L,ENSG00000122417,15.11,6.02,1.198,2.57E-26
ZNF644,ENSG00000122482,12.64,3.89,1.48,6.96E-56
PMS2,ENSG00000122512,4.38,1.24,1.264,2.55E-58
SEP7,ENSG00000122545,87.147,13.92,2.563,5.69E-77
KLHL7,ENSG00000122550,12.7,3.61,1.571,5.91E-61
HNRNPA2B1,ENSG00000122566,426.232,191.685,1.149,1.44E-25
FAM126A,ENSG00000122591,5.28,1.96,1.085,3.99E-25
INHBA,ENSG00000122641,15.58,0.09,3.927,5.89E-70
FKBP9,ENSG00000122642,74.63,17.6,2.024,2.76E-64
NT5C3A,ENSG00000122643,29.3,9.86,1.48,1.05E-39
RAMP3,ENSG00000122679,18.25,6.45,1.37,2.2E-24
FTSJ2,ENSG00000122687,18.731,4.46,1.853,5.25E-80
TWIST1,ENSG00000122691,5,0.2,2.322,1.21E-45
SMU1,ENSG00000122692,9.51,2.97,1.405,2.75E-65
GLIPR2,ENSG00000122694,20.831,1.44,3.161,1.64E-56
RECK,ENSG00000122707,4.24,0.89,1.471,6.92E-42
SPINK4,ENSG00000122711,3.54,0.1,2.045,5.28E-13
PLAU,ENSG00000122861,86.222,1.97,4.876,2.84E-71
SRGN,ENSG00000122862,94.208,7.89,3.421,9.29E-55
P4HA1,ENSG00000122884,29.321,6,2.115,8.54E-51
ZWINT,ENSG00000122952,14.47,1.25,2.781,1.63E-80
VPS26A,ENSG00000122958,27.059,7.69,1.691,7.04E-57
HVCN1,ENSG00000122986,6.69,0.57,2.292,7.97E-54
RNF11,ENSG00000123091,39.39,10.43,1.821,1.7E-52
RASSF8,ENSG00000123094,5.6,1.24,1.559,5.82E-40
SSPN,ENSG00000123096,10.79,1.1,2.489,3.75E-60
WWP1,ENSG00000123124,21.491,7.17,1.461,1.5E-39
PKN1,ENSG00000123143,83.331,23.831,1.764,2.53E-50
GIPC1,ENSG00000123159,137.653,17.33,2.919,6.97E-71
ZC3H13,ENSG00000123200,10.25,3.67,1.268,1.11E-46
NLN,ENSG00000123213,5.96,1.99,1.219,4.97E-36
OPTN,ENSG00000123240,60.938,13.56,2.089,4.82E-62
ITIH5,ENSG00000123243,13.26,3.17,1.774,1.06E-29
TSFM,ENSG00000123297,24.62,7.06,1.668,4.21E-69
NCKAP1L,ENSG00000123338,6.88,0.69,2.221,2.56E-38
MMP19,ENSG00000123342,12.4,2.09,2.117,1.6E-33
PFDN5,ENSG00000123349,686.063,313.646,1.127,1.89E-24
SPATS2,ENSG00000123352,12.92,4.56,1.324,1.48E-55
ORMDL2,ENSG00000123353,58.318,12.1,2.179,1.76E-72
NR4A1,ENSG00000123358,54.221,20.05,1.391,8.22E-10
PDE1B,ENSG00000123360,4.31,0.86,1.513,3.19E-34
LRP1,ENSG00000123384,90.452,11.01,2.929,1.71E-62
SMUG1,ENSG00000123415,35.27,12.73,1.401,8.81E-49
TUBA1B,ENSG00000123416,538.274,60.681,3.128,2.8E-69
KBTBD4,ENSG00000123444,10.79,3.24,1.475,5.1E-54
SARDH,ENSG00000123453,2.06,10.14,-1.864,6.01E-48
STIL,ENSG00000123473,1.95,0.26,1.227,6.36E-54
HJURP,ENSG00000123485,3.54,0.08,2.072,4.23E-62
NDUFAF4,ENSG00000123545,19.311,7.86,1.197,3.74E-31
MORF4L2,ENSG00000123562,158.495,66.251,1.246,1.79E-32
RAB9A,ENSG00000123595,23.41,9.5,1.217,7.02E-43
METTL8,ENSG00000123600,5.23,1.4,1.376,3.82E-48
NMI,ENSG00000123609,23.581,3.06,2.598,1.91E-71
TNFAIP6,ENSG00000123610,7.93,0.09,3.034,1.85E-60
SLC36A1,ENSG00000123643,5.43,2.2,1.007,8.57E-25
LPGAT1,ENSG00000123684,14.84,5.6,1.263,1.75E-37
G0S2,ENSG00000123689,25.751,5,2.157,9.55E-22
EXOSC9,ENSG00000123737,16.11,5.98,1.294,7.39E-59
PFKFB2,ENSG00000123836,8.33,3.16,1.165,4.7E-25
RAB38,ENSG00000123892,3.66,0.59,1.551,1.22E-50
FAM210B,ENSG00000124098,33.04,10.67,1.544,5.05E-50
PI3,ENSG00000124102,41.409,0.33,4.995,3.32E-57
SNX21,ENSG00000124104,11.37,3.68,1.402,6.19E-49
SLPI,ENSG00000124107,414.146,9.37,5.323,3.06E-63
WFDC3,ENSG00000124116,5.9,0.26,2.453,2.55E-39
PREX1,ENSG00000124126,9.04,1.69,1.9,6.96E-44
SLC12A5,ENSG00000124140,3.35,0.66,1.39,8.38E-26
SDC4,ENSG00000124145,194.819,26.87,2.813,1.18E-47
NCOA3,ENSG00000124151,9.68,3.26,1.326,6.17E-45
PIGT,ENSG00000124155,89.753,23.801,1.872,5.46E-61
MATN4,ENSG00000124159,0.14,2,-1.396,3.71E-60
VAPB,ENSG00000124164,22.13,8.96,1.216,4.59E-45
PARD6B,ENSG00000124171,3.38,1.13,1.04,4.26E-28
PLCG1,ENSG00000124181,31.84,12.79,1.252,6.72E-25
TOX2,ENSG00000124191,2.84,0.58,1.281,3.67E-43
ZNFX1,ENSG00000124201,17.12,2.44,2.397,2.88E-80
RAB22A,ENSG00000124209,8.64,2.07,1.651,2.8E-74
PTGIS,ENSG00000124212,11.76,0.81,2.818,2.28E-45
STAU1,ENSG00000124214,62.201,17.68,1.758,2.13E-54
SNAI1,ENSG00000124216,7.83,0.94,2.186,5.51E-47
PPP4R1L,ENSG00000124224,5.14,1.8,1.133,4.7E-26
PMEPA1,ENSG00000124225,117.099,9.77,3.455,1.41E-55
RBPJL,ENSG00000124232,0.14,374.597,-8.364,2.3E-92
ZBP1,ENSG00000124256,2.76,0.09,1.786,4.47E-39
PEPD,ENSG00000124299,47.179,10.63,2.051,1.49E-65
IQSEC2,ENSG00000124313,9.32,3.36,1.243,7.52E-48
VAMP7,ENSG00000124333,16.89,4.98,1.581,3.87E-59
STAMBP,ENSG00000124356,30.399,7.86,1.825,1.22E-63
NAGK,ENSG00000124357,77.321,30.391,1.319,8.76E-37
PAIP2B,ENSG00000124374,1.31,13.6,-2.66,5.51E-61
SNRNP27,ENSG00000124380,31.91,8.16,1.845,7.36E-64
MPHOSPH10,ENSG00000124383,17.1,7.59,1.075,3.24E-43
POF1B,ENSG00000124429,11.8,1.57,2.316,1.65E-40
ZNF576,ENSG00000124444,12.86,3.4,1.655,9.01E-71
ZNF45,ENSG00000124459,4.65,1.64,1.098,3.76E-47
LYPD3,ENSG00000124466,5.22,0.46,2.091,1.1E-40
USP9X,ENSG00000124486,17.14,6.72,1.233,1.33E-42
F13A1,ENSG00000124491,14.32,2.34,2.198,2.86E-34
TRERF1,ENSG00000124496,3.14,0.59,1.381,5.45E-53
WRNIP1,ENSG00000124535,36.121,16.151,1.114,2E-40
RRP36,ENSG00000124541,37.93,15.79,1.213,1.28E-46
SNRPC,ENSG00000124562,91.868,34.37,1.393,2.15E-37
SERPINB6,ENSG00000124570,156.53,72.69,1.096,2.73E-21
PRICKLE4,ENSG00000124593,8.77,3.71,1.053,9.32E-13
HIST1H2BJ,ENSG00000124635,2.26,0.15,1.503,1.12E-39
MED20,ENSG00000124641,8.82,3.42,1.152,7.25E-49
TBCC,ENSG00000124659,16.999,5.18,1.542,1.82E-58
SPDEF,ENSG00000124664,14.83,0.14,3.796,2.86E-53
MAD2L1BP,ENSG00000124688,21.9,5.7,1.773,1.28E-68
KLHDC3,ENSG00000124702,50.481,19.39,1.336,1.63E-45
GNMT,ENSG00000124713,0.7,176.9,-6.709,4.23E-67
TREM1,ENSG00000124731,11.81,0.21,3.404,2.01E-53
MEA1,ENSG00000124733,58.209,18.11,1.631,2.52E-63
SOX4,ENSG00000124766,21.19,3.3,2.368,2.94E-51
GLO1,ENSG00000124767,49.741,13.48,1.809,5.34E-66
RUNX2,ENSG00000124813,5.25,0.22,2.357,1.19E-60
LRRFIP1,ENSG00000124831,61.252,10.92,2.385,8.49E-63
EREG,ENSG00000124882,1.06,0.02,1.014,2.46E-24
MYRF,ENSG00000124920,38.851,15.34,1.286,8.88E-13
SCGB2A1,ENSG00000124939,10.61,2.57,1.701,2.09E-19
SH3TC1,ENSG00000125089,19.14,6.05,1.514,1.19E-39
MT1G,ENSG00000125144,60.748,259.717,-2.078,9.48E-15
GOT2,ENSG00000125166,41.12,12.74,1.616,1.65E-65
RAP2A,ENSG00000125249,6.97,1.25,1.825,4.08E-70
SOX21,ENSG00000125285,1.19,0,1.131,7.45E-22
TM9SF2,ENSG00000125304,84.817,31.659,1.394,1.11E-47
